Zdjęcie	Plik	Opis	Uwagi
skladnica_gronoszowa	IMG_2581	Budynek filii Składnicy Kółek Rolniczych w Mszanie Dolnej ul. Gronoszowa w 1927 r.
tartak_1	IMG_2609	(Zdjęcia z czasów, gdy tartakiem parowym zarządzała spółdzielczość pracy – przemysł drzewny „Podkarpacie” z siedzibą w Rabce.)
tartak_2	IMG_2609	(Zdjęcia z czasów, gdy tartakiem parowym zarządzała spółdzielczość pracy – przemysł drzewny „Podkarpacie” z siedzibą w Rabce.)
tartak_3	IMG_2609	(Zdjęcia z czasów, gdy tartakiem parowym zarządzała spółdzielczość pracy – przemysł drzewny „Podkarpacie” z siedzibą w Rabce.)
tartak_4	IMG_2609	(Zdjęcia z czasów, gdy tartakiem parowym zarządzała spółdzielczość pracy – przemysł drzewny „Podkarpacie” z siedzibą w Rabce.)
piekarnia_1	IMG_2628	Widok ogólny piekarni mechanicznej, wybudowana w 1965 r. i rozbudowana w 1967 r.
magazyn_opalu	IMG_2663	Magazyn materiałów budowlanych i opału dzierżawiony w latach 1950–1974 obecnie przeniesiono do własnego.
sklad_opalowy	IMG_2663	Skład opałowy i magazyn budowlany na bazie magazynowej w Mszanie Dolnej oddany do eksploatacji w {brak daty}
skladnica_sklep_zelazny	IMG_2663	W tym budynku w latach 1920–1936 był magazyn i sklep Składnicy Kółek Roln., obecnie sklep G.S. żelazny i rolniczy.
biura	IMG_2664	Budynek zakupiony w 1957 r. w którym parter = restauracja „Okocim” od 1957 r. na piętrze mieszczą się biura Spółdzielni.
magnolia_1	IMG_2665	Budynek zakupiony w 1961 r. przez Gminną Spółdzielnię, gdzie obecnie mieści się restauracja „Magnolia”.
mieszalnia_pasz_1	IMG_2665	Widok na obiekty mieszalni pasz, budowane przez Spółdzielnię, uruchomiono w 1961 r. i rozbudowano w 1970–1975 r.
boksy_wegiel	IMG_2666	Widok na boksy z węglem i następny magazyn, rozbudowywanej od 1974 r. bazy do produkcji rolnej w Mszanie D.
masarnia_1	IMG_2666	Masarnia na planie pierwszym, wybudowana w 1976 r. i oddana do użytku na dalszym planie – mieszalnia pasz.
bistro	IMG_2667	Kiosk gastronomiczny w „Bistro” w Mszanie Dolnej uruchomiony w 1977 roku i jest on własnością Gminnej Spółdzielni.
sezam_1	IMG_2667	Widok na dom towarowy „Sezam” od strony restauracji „Magnolia” w Mszanie Dolnej.
sezam_2	IMG_2667	Budynek domu handlowego widoczny z frontu, który wybudowany został w 1977 r. i oddany do użytku przez Spółdzielnię w 1978 r.
magazyn_wiaty	IMG_2669	Nowy magazyn i wiaty na budowanej od 1974 r. przez naszą Spółdzielnię bazie do produkcji rolnej w Mszanie D.
miesny	IMG_2669	Budynek zakupiony w 1974 r. przez G.S. w którym na parterze jest sklep Nr 9 /mięsny/ na piętrze Ośrodek Now. Gospod.
sklep_agd	IMG_2670	Sklep artykułów gospodarstwa domowego w Mszanie Dolnej, w którym również mieści się sklep z meblami. Budynek dzierżawiony od ob. Fr. Knapczyka od 1952 r.
piekarnia_2	IMG_2671	Piekarnia mechaniczna przy ul. J. Marka w Mszanie Dolnej. Zbudowana przez Gminną Spółdzielnię i oddana do eksploatacji w 1966 r.	por. piekarnia_mechaniczna
masarnia_2	IMG_2672	Zakład masarski przy ul. Ogrodowej w Mszanie Dolnej. W dali widoczne silosy mieszalni pasz G.S. Oddano do użytku w 1975 r., po adaptacji magazynów.
skup_zywca	IMG_2680	Punkt skupu żywca w Mszanie Dolnej, ul. Orkana. Wybudowany i uruchomiony przez G.S. w 1967 r. Koszt budowy: 1.924.000 zł
magazyn_nawozy_pasza	IMG_2681	Magazyn nawozowo-paszowy w Mszanie Dolnej przy ul. Orkana, oddany do użytku w 1975 r.
skladnica_maszyn_rolniczych_otw_1983	IMG_2684	Składnica maszyn rolniczych w Mszanie Dolnej przy ul. Orkana. Oddano do użytku w 1983 r.
sklep_spoz	IMG_2685	Sklep spożywczy w Mszanie Dolnej, ul. Starowiejska. Budynek dzierżawiony od Spółdzielni Mieszkaniowej. Dzierżawa trwa od 1973 r.
rzeznia	IMG_2687	Rzeźnia w Mszanie Dolnej przy ul. Topolowej. Przejęto od M.P.G.K. w 1974 r. o wartości 3.853.000 zł.
mieszalnia_pasz_2	IMG_2688	Mieszalnia pasz treściwych w Mszanie Dolnej oddana do eksploatacji w 1962 r.
skladnica_maszyn_rolniczych_otw_1975	IMG_2689	Składnica maszyn rolniczych w Mszanie Dolnej oddana do użytku w 1975 r.
sezam_3	IMG_2711	Widok domu towarowego „Sezam” w Mszanie Dolnej, oddany do eksploatacji w 1978 r.
baza_magazynowa_1	IMG_2712	Obiekty bazy magazynowej do produkcji rolnej przy ul. Orkana w Mszanie Dolnej.
baza_magazynowa_2	IMG_2712	Obiekty bazy magazynowej do produkcji rolnej przy ul. Orkana w Mszanie Dolnej.
lubogoszcz_rozbudowa_1	IMG_2714	Rozbudowa budynku G.S. pod restaurację „Lubogoszcz” w Mszanie Dolnej w 1983 r.
lubogoszcz_rozbudowa_2	IMG_2714	Rozbudowa budynku G.S. pod restaurację „Lubogoszcz” w Mszanie Dolnej w 1983 r.
lubogoszcz_rozbudowa_3	IMG_2714	Rozbudowa budynku G.S. pod restaurację „Lubogoszcz” w Mszanie Dolnej w 1983 r.
lubogoszcz_rozbudowa_4	IMG_2714	Rozbudowa budynku G.S. pod restaurację „Lubogoszcz” w Mszanie Dolnej w 1983 r.
lubogoszcz_rozbudowa_5	IMG_2714	Rozbudowa budynku G.S. pod restaurację „Lubogoszcz” w Mszanie Dolnej w 1983 r.
magnolia_2	IMG_2716	Budynek restauracji „Magnolia” w Mszanie Dolnej, zakupiony w 1961 r.
dzial_zaopatrzenia_biuro	IMG_2720	Budynek zakupiony w 1984 r. od ob. Róg, w którym mieści się biuro Działu Zaopatrzenia. Sklepy: monopolowy i elektrotechn. w budynku dzierżawionym od ob. Róg.
lubogoszcz_adaptacja_1	IMG_2740	Adaptacja budynku administracyjnego w Mszanie Dolnej przy ul. 1-go Maja, na restaurację „Lubogoszcz” z hotelem i sklepem (widok od strony ulicy – w toku robót w 1986 r.)
lubogoszcz_adaptacja_2	IMG_2740	Adaptacja budynku administracyjnego w Mszanie Dolnej przy ul. 1-go Maja, na restaurację „Lubogoszcz” z hotelem i sklepem (widok z dnia 19 lipca 1986 r.)
skup_skor	IMG_2741	Magazyn skupu skór, wełny i odpadów użyt. na bazie do produkcji rolnej w Mszanie Dolnej.
